0,1,2,3,4,5,6
0a,0b,0c,0d,0e0e,0f,0z
0A,0B,0C,0D,-9000E,0F,0Z
0A,0B,0C,-5008D,0E,0F,0Z
0A,-5220B,0C,0D,-3600E,0F,0Z
0A,-5740B,0C,0D,-3000E,0F,0Z
-22756A,0B,0C,2402D,0E,0F,0Z
0A,0B,14434C,0D,0E,0F,0Z
0A,0B,0C,308D,0E,0F,0Z
0A,0B,0C,0D,-301E,-59F,0Z
0A,0B,-6100C,0D,977E,0F,0Z
0A,-1552B,-8647C,0D,357E,0F,0Z
0A,-3593B,1042C,0D,-3011E,0F,0Z
0A,0B,-12342C,0D,1302E,0F,0Z
0A,-1421B,-22313C,-335D,2352E,0F,0Z
0A,-2261B,-18049C,0D,981E,164F,0Z
0A,0B,0C,0D,-2228E,0F,0Z
0A,-3160B,0C,0D,-5724E,0F,0Z
0A,0B,0C,0D,-2212E,0F,0Z
0A,3532B,-1130C,0D,4294E,0F,0Z
0A,0B,29979C,0D,-1636E,0F,0Z
0A,0B,1746C,0D,-707E,0F,0Z
0A,0B,12524C,0D,-563E,0F,0Z
0A,0B,22C,-244D,0E,0F,0Z
0A,0B,0C,-144D,0E,0F,0Z
0A,0B,0C,0D,0E,341F,0Z
0A,0B,0C,0D,0E,441F,0Z
0A,0B,0C,0D,-5400E,0F,0Z
0A,0B,-148C,4507D,0E,0F,0Z
0A,9392B,0C,2215D,0E,0F,0Z
16859A,0B,0C,0D,0E,0F,0Z
0A,0B,0C,0D,3600E,0F,0Z
5897A,10023B,8982C,-3701D,23519E,-887F,0Z
