,0,1,2,3,4,5
0,-2104a,843b,-2104c,1d,1e,1f
1,-7998a,1b,1c,1d,2106e,1f
2,1a,-2101b,-1005c,1d,1e,1f
3,1a,1b,1c,1d,1e,1007f
4,1a,843b,1c,1d,1e,1f
5,-2541a,1b,1c,1d,152e,1f
6,1a,-944b,-494c,1d,1e,1f
7,1a,496b,-269c,1d,1e,1f
8,-2329a,1b,1c,1d,647e,1f
9,1a,-674b,-404c,1d,1e,1f
10,1a,-44b,1c,1d,1e,843f
11,1a,422b,-420c,1d,1e,1f
12,-2525a,422b,1c,1d,1039e,1f
13,1a,-1304b,-854c,1d,1e,1f
14,1a,1b,1c,1d,1e,991f
15,1a,676b,-134c,1d,1e,1f
16,-2419a,1b,1c,1d,1e,1f
17,1a,1b,557c,1d,1e,1f
18,1a,-629b,-404c,1d,1e,1f
19,1a,1b,1c,1d,1e,843f
20,1a,843b,1c,1d,1e,1f
21,843a,1b,1c,1d,1e,1f
22,19058a,1142b,5519c,-22d,-3962e,-3702f
